['{N.2(-H)(-H)(-H)} + {H-O-H}', ['H', 'H', 'H', 'H', 'H', 'N', 'O'], [[0, 0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0, 0], [1, 1, 1, 0, 0, 2, 0, 0, 0], [0, 0, 0, 1, 1, 0, 0, 0, 0]], '{N+1(-H)(-H)(-H)(~H)} + {O-1-H}', 'A--B + C(.2)', 'A<~C(+1) + B(-1)']
['{C(-H)(-H)(-Cl)(-Cl)} + {Cl-Cl}', ['C', 'Cl', 'Cl', 'Cl', 'Cl', 'H', 'H'], [[0, 1, 1, 0, 0, 1, 1, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0]], '{C(-H)(-Cl)(-Cl)(-Cl)} + {H-Cl}', 'A--B + C--D', 'A--C + D--B']
['{C.4} + {H.1}', ['C', 'H'], [[4, 0, 0, 0], [0, 1, 0, 0]], '{C.3-H}', 'A(.4) + B(.1)', 'A(.3)--B']
['{H-S.2-H} + {H-O-O-H}', ['H', 'H', 'H', 'H', 'O', 'O', 'S'], [[0, 0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 1, 0, 0, 1, 0, 0, 0], [0, 0, 0, 1, 1, 0, 0, 0, 0], [1, 1, 0, 0, 0, 0, 2, 0, 0]], '{H-S(=O)(-H)} + {H-O-H}', 'A--B--C + D(.2)', 'A--C + B=D']
['{Br-O-H} + {H-H}', ['Br', 'H', 'H', 'H', 'O'], [[0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0], [1, 1, 0, 0, 0, 0, 0]], '{H-Br} + {H-O-H}', 'A--B + C--D', 'A--C + D--B']
['{C.1(-O-H)(-O-H)(-H)} + {H-O-H}', ['C', 'H', 'H', 'H', 'H', 'H', 'O', 'O', 'O'], [[1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0], [1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]], '{C(=O)(-O-H)(-H)} + {H-O-H} + {H.1}', 'A(.1)--B + C--D--E', 'A=D + C--B + E(.1)']
['{C(-H)(-H)(-H)(-Cl)} + {Cl-Cl}', ['C', 'Cl', 'Cl', 'Cl', 'H', 'H', 'H'], [[0, 1, 0, 0, 1, 1, 1, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0]], '{C(-H)(-H)(-Cl)(-Cl)} + {H-Cl}', 'A--B + C--D', 'A--C + D--B']
['{H-H} + {Br-Br}', ['Br', 'Br', 'H', 'H'], [[0, 1, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0], [0, 0, 1, 0, 0, 0]], '{H-Br} + {H-Br}', 'A--B + C--D', 'A--C + B--D']
['{H-Cl} + {H-O.1-H}', ['Cl', 'H', 'H', 'H', 'O'], [[0, 1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 1, 0, 0], [0, 0, 1, 1, 1, 0, 0]], '{O+1(-H)(-H)(-H)} + {Cl-1}', 'A--B + C(.1)', 'A(-1) + B--C(+1)']
['{C.1(-H)(-H)(-H)} + {Cl-Cl}', ['C', 'Cl', 'Cl', 'H', 'H', 'H'], [[1, 0, 0, 1, 1, 1, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0]], '{C(-H)(-H)(-H)(-Cl)} + {Cl.1}', 'A(.1) + B--C', 'A--B + C(.1)']
['{H-Cl} + {H-H}', ['Cl', 'H', 'H', 'H'], [[0, 1, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0], [0, 0, 1, 0, 0, 0]], '{H-H} + {H-Cl}', 'A--B + C--D', 'A--D + B--C']
['{C(-H)(-Cl)(-F)(-F)} + {C(-H)(-Cl)(-F)(-F)}', ['C', 'Cl', 'C', 'Cl', 'F', 'F', 'F', 'F', 'H', 'H'], [[0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]], '{C(-F)(-F)(=C(-F)(-F))} + {H-Cl} + {H-Cl}', 'A(--C)(--B) + D(--F)(--E)', 'A=D + B--C + E--F']
['{C(-H)(-H)(-H)(-H)} + {Cl-Cl}', ['C', 'Cl', 'Cl', 'H', 'H', 'H', 'H'], [[0, 0, 0, 1, 1, 1, 1, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0]], '{C(-H)(-H)(-H)(-Cl)} + {H-Cl}', 'A--B + C--D', 'A--C + D--B']
['{N.2(-H)(-H)(-H)} + {H-Cl}', ['Cl', 'H', 'H', 'H', 'H', 'N'], [[0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0], [0, 1, 1, 1, 0, 2, 0, 0]], '{[N(-H)(-H)(-H)(~H)][Cl]}', 'A--B + C(.2)', '[B<~C][A]']
['{C(-H)(-H)(-O-H)(-O-H)} + {H-O-H}', ['C', 'H', 'H', 'H', 'H', 'H', 'H', 'O', 'O', 'O'], [[0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0], [1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]], '{C(-H)(-H)(=O)} + {H-O-H} + {H-O-H}', 'A(--D)(--B--C) + E--F', 'A=B + C--F + E--D']
['{C(-H)(-Cl)(-Cl)(-Cl)} + {Cl-Cl}', ['C', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'H'], [[0, 1, 1, 1, 0, 0, 1, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 1, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0]], '{C(-Cl)(-Cl)(-Cl)(-Cl)} + {H-Cl}', 'A--B + C--D', 'A--C + D--B']
['{H-H} + {S.2}', ['H', 'H', 'S'], [[0, 1, 0, 0, 0], [1, 0, 0, 0, 0], [0, 0, 2, 0, 0]], '{H-S-H}', 'A--B + C(.2)', 'A--C--B']
['{C(-H)(-H)(-H)(-C.1(-H)(-H)) + {Cl.1}', ['C', 'C', 'Cl', 'H', 'H', 'H', 'H', 'H'], [[0, 1, 0, 1, 1, 1, 0, 0, 0, 0], [1, 1, 0, 0, 0, 0, 1, 1, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0, 0, 0]], '{C(-H)(-H)(-H)(-C(-H)(-H)(-Cl))}', 'A(.1) + B(.1)', 'A--B']
['{H-O-H} + {H-O-H}', ['H', 'H', 'H', 'H', 'O', 'O'], [[0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0], [1, 1, 0, 0, 0, 0, 0, 0], [0, 0, 1, 1, 0, 0, 0, 0]], '{H-H} + {H-H} + {O=O}', 'A--B--C + D--E--F', 'A--C + D--F + B=E']
['{H-H} + {Cl-Cl}', ['Cl', 'Cl', 'H', 'H'], [[0, 1, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0], [0, 0, 1, 0, 0, 0]], '{H-Cl} + {H-Cl}', 'A--B + C--D', 'A--C + B--D']
['{C(-H)(-H)(-H)(-C.1(-H)(-H))} + {Cl.1}', ['C', 'C', 'Cl', 'H', 'H', 'H', 'H', 'H'], [[0, 1, 0, 1, 1, 1, 0, 0, 0, 0], [1, 1, 0, 0, 0, 0, 1, 1, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0, 0, 0]], '{C(-H)(-H)(-H)(-C(-H)(-H)(-Cl))}', 'A(.1) + B(.1)', 'A--B']
['{C(-H)(-H)(-H)(-O-H)} + {H-Cl}', ['C', 'Cl', 'H', 'H', 'H', 'H', 'H', 'O'], [[0, 0, 1, 1, 1, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 1, 0, 0, 0, 0]], '{C(-H)(-H)(-H)(-Cl)} + {H-O-H}', 'A--B + C--D', 'A--C + D--B']
['{P.2(-Cl)(-Cl)(-Cl)} + {Cl-Cl}', ['Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'P'], [[0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0], [1, 1, 1, 0, 0, 2, 0, 0]], '{P(-Cl)(-Cl)(-Cl)(-Cl)(-Cl)}', 'A--B + C(.2)', 'A--C--B']
['{C.2(-H)(-H)} + {O.2}', ['C', 'H', 'H', 'O'], [[2, 1, 1, 0, 0, 0], [1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [0, 0, 0, 2, 0, 0]], '{C.2#O} + {H.1} + {H.1}', 'A(--C)(--B) + D(.2)', 'A#D + B(.1) + C(.1)']
['{H-O-O-H} + {H-O-O-H}', ['H', 'H', 'H', 'H', 'O', 'O', 'O', 'O'], [[0, 0, 0, 0, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1, 0, 0], [1, 0, 0, 0, 0, 1, 0, 0, 0, 0], [0, 1, 0, 0, 1, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 1, 0, 0, 1, 0, 0, 0]], '{H-O-H} + {H-O-H} + {O=O}', 'A--B--C + D--E--F', 'A--C + D--F + B=E']
['{C(-O-H)(-O-H)(-H)(-H)} + {H-O-H}', ['C', 'H', 'H', 'H', 'H', 'H', 'H', 'O', 'O', 'O'], [[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0], [1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]], '{C(=O)(-H)(-H)} + {H-O-H} + {H-O-H}', 'A(--D)(--B--C) + E--F', 'A=B + C--F + E--D']
['{H-Cl} + {H-O.2-H}', ['Cl', 'H', 'H', 'H', 'O'], [[0, 1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 1, 0, 0], [0, 0, 1, 1, 2, 0, 0]], '{O+1(-H)(-H)(-H)} + {Cl-1}', 'A--B + C(.2)', 'A(-1) + B(+1)--C(+1)']
